,year,type,Montant
0,2015,PRT-K,64808.0
1,2015,PRT-K,191342.0
2,2015,PRT-K,212999.0
3,2015,PRT-K,200200.0
4,2015,PRT-K,95878.0
5,2015,PRT-K,61875.0
6,2015,PRT-K,217196.0
7,2015,PRT-K,50005.0
8,2015,PRT-K,151840.0
9,2015,PRT-K,91009.0
10,2015,PRT-K,162813.0
11,2015,PRT-K,84950.0
12,2015,PRT-K,175634.0
13,2015,PRT-K,55000.0
14,2015,PRT-K,288902.0
15,2015,PRT-K,53165.0
16,2015,PRT-K,293983.0
17,2015,PRT-K,217669.0
18,2015,PRT-K,98399.0
19,2015,PRT-K,91382.0
0,2015,PRT-S,105850.0
1,2015,PRT-S,182955.7
2,2015,PRT-S,148326.0
3,2015,PRT-S,336913.9
4,2015,PRT-S,44448.0
5,2015,PRT-S,118326.9
6,2015,PRT-S,61736.9
7,2015,PRT-S,545866.7
8,2015,PRT-S,449411.4
9,2015,PRT-S,520447.9
10,2015,PRT-S,142438.3
11,2015,PRT-S,214635.5
12,2015,PRT-S,225496.8
0,2015,PRT-S,214635.5
1,2015,PRT-S,105850.0
2,2015,PRT-S,44448.0
3,2015,PRT-S,118326.9
4,2015,PRT-S,61736.9
5,2015,PRT-S,545866.7
6,2015,PRT-S,449411.4
7,2015,PRT-S,142438.3
8,2015,PRT-S,225496.8
9,2015,PRT-S,182955.7
10,2015,PRT-S,336913.9
11,2015,PRT-S,148326.0
12,2015,PRT-S,520447.9
0,2020,PRT-K,90782.6
1,2020,PRT-K,327050.0
2,2020,PRT-K,149000.0
3,2020,PRT-K,214508.1
4,2020,PRT-K,207500.0
5,2020,PRT-K,71000.0
6,2020,PRT-K,219532.5
7,2020,PRT-K,236580.5
8,2020,PRT-K,263575.4
9,2020,PRT-K,245600.0
10,2020,PRT-K,196851.6
11,2020,PRT-K,244450.0
12,2020,PRT-K,437495.2
13,2020,PRT-K,212060.0
14,2020,PRT-K,208191.5
15,2020,PRT-K,98595.0
16,2020,PRT-K,108500.0
0,2020,PRT-S,194283.0
1,2020,PRT-S,498750.0
2,2020,PRT-S,276142.0
3,2020,PRT-S,209989.0
0,2021,PRT-S,714631.6
1,2021,PRT-S,207928.8
2,2021,PRT-S,505575.6
3,2021,PRT-S,652390
4,2021,PRT-S,124582.5
5,2021,PRT-S,342988.6
6,2021,PRT-S,489134.2
7,2021,PRT-S,140854.6
8,2021,PRT-S,415822
9,2021,PRT-S,307134.6
10,2021,PRT-S,838426
11,2021,PRT-S,324700
12,2021,PRT-S,224389
0,2014,PRT-S,284054.0
1,2014,PRT-S,245796.0
2,2014,PRT-S,13200.0
3,2014,PRT-S,920679.0
4,2014,PRT-S,62828.0
5,2014,PRT-S,71874.999
6,2014,PRT-S,1183439.0
7,2014,PRT-S,376244.1
8,2014,PRT-S,569900.0
9,2014,PRT-S,171746.0
0,2016,PRT-K,280000.0
1,2016,PRT-K,290200.0
2,2016,PRT-K,257097.0
3,2016,PRT-K,123496.0
4,2016,PRT-K,162257.0
5,2016,PRT-K,304074.0
6,2016,PRT-K,110680.0
7,2016,PRT-K,223920.0
8,2016,PRT-K,171340.0
9,2016,PRT-K,309584.0
10,2016,PRT-K,157849.0
11,2016,PRT-K,162580.0
12,2016,PRT-K,65700.0
13,2016,PRT-K,10864.0
0,2017,PRT-K,26123.0
1,2017,PRT-K,94978.0
2,2017,PRT-K,192528.0
3,2017,PRT-K,266178.0
4,2017,PRT-K,340455.0
5,2017,PRT-K,275173.0
6,2017,PRT-K,182337.0
7,2017,PRT-K,555556.0
8,2017,PRT-K,87646.0
9,2017,PRT-K,148027.0
10,2017,PRT-K,165715.0
11,2017,PRT-K,333891.0
12,2017,PRT-K,156600.0
0,2018,PRT-K,90310.0
1,2018,PRT-K,337250.0
2,2018,PRT-K,82507.0
3,2018,PRT-K,120507.0
4,2018,PRT-K,673302.0
5,2018,PRT-K,197950.0
6,2018,PRT-K,207013.0
7,2018,PRT-K,289419.0
8,2018,PRT-K,249730.0
9,2018,PRT-K,129813.0
10,2018,PRT-K,170009.0
11,2018,PRT-K,491459.0
12,2018,PRT-K,286152.0
0,2019,PRT-K,86000.0
1,2019,PRT-K,122680.0
2,2019,PRT-K,59779.0
3,2019,PRT-K,260370.0
4,2019,PRT-K,61380.0
5,2019,PRT-K,39837.0
6,2019,PRT-K,139446.0
7,2019,PRT-K,168005.0
8,2019,PRT-K,50258.0
9,2019,PRT-K,347332.0
10,2019,PRT-K,127329.0
11,2019,PRT-K,326074.0
12,2019,PRT-K,580050.0
13,2019,PRT-K,69400.0
14,2019,PRT-K,185921.0
15,2019,PRT-K,251137.0
0,2016,PRT-S,126632.0
1,2016,PRT-S,158670.0
0,2017,PRT-S,272785.0
1,2017,PRT-S,138138.0
0,2018,PRT-S,205687.2
1,2018,PRT-S,97547.0
2,2018,PRT-S,95923.0
3,2018,PRT-S,357411.6
4,2018,PRT-S,67758.6
0,2019,PRT-S,269611.0
1,2019,PRT-S,447530.0
2,2019,PRT-S,260142.0
3,2019,PRT-S,75000.0
0,2014,PRT-K,98095.0
1,2014,PRT-K,277453.0
2,2014,PRT-K,192698.0
3,2014,PRT-K,168922.0
4,2014,PRT-K,455197.0
5,2014,PRT-K,303997.0
6,2014,PRT-K,175200.0
7,2014,PRT-K,316420.0
8,2014,PRT-K,81006.0
9,2014,PRT-K,267800.0
10,2014,PRT-K,120077.0
11,2014,PRT-K,79500.0
12,2014,PRT-K,197000.0
13,2014,PRT-K,227546.0
0,2013,PRT-S,166183.68
1,2013,PRT-S,490011.6
2,2013,PRT-S,171600.14560000002
3,2013,PRT-S,306550.4
4,2013,PRT-S,226785.52
5,2013,PRT-S,250641.04
6,2013,PRT-S,765440.0
7,2013,PRT-S,355544.8
8,2013,PRT-S,424958.56
9,2013,PRT-S,399195.784
10,2013,PRT-S,571042.0
11,2013,PRT-S,318000.8
12,2013,PRT-S,70668.0
13,2013,PRT-S,126968.4
14,2013,PRT-S,529453.6
15,2013,PRT-S,368384.10959999997
16,2013,PRT-S,217268.0
17,2013,PRT-S,827862.932
18,2013,PRT-S,231215.08800000002
19,2013,PRT-S,1223248.0
20,2013,PRT-S,188025.0
